epoch,loss,accuracy
985, 0.00212,30.891
986, 0.00213,30.684
987, 0.00214,31.030
988, 0.00214,30.454
989, 0.00212,31.421
990, 0.00213,29.993
991, 0.00213,30.546
992, 0.00213,31.191
993, 0.00212,30.730
994, 0.00213,30.891
995, 0.00213,31.560
996, 0.00212,30.246
997, 0.00213,31.375
998, 0.00213,31.053
999, 0.00213,30.615
